City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Carauari,BR,-4.8828,-66.8958,84.74,71,100,2.84,heavy intensity rain
304,Padang,ID,-0.9492,100.3543,76.01,84,96,3.33,moderate rain
305,Longyearbyen,SJ,78.2186,15.6401,15.64,86,20,6.91,few clouds
306,Uporovo,RU,56.3109,66.2693,-3.96,90,9,5.7,clear sky
307,Norman Wells,CA,65.282,-126.8329,14.04,92,100,10.36,light snow
308,Betare Oya,CM,5.6,14.0833,75.56,38,42,2.59,scattered clouds
309,Campana,AR,-34.1687,-58.9591,97.23,17,4,11.81,clear sky
310,Portobelo,PA,9.55,-79.65,83.1,82,100,6.15,moderate rain
311,Les Cayes,HT,18.2,-73.75,84.02,66,20,8.68,few clouds
312,Havoysund,NO,70.9963,24.6622,32.23,79,100,14.03,overcast clouds
313,Birin,NP,26.8865,88.0718,50.07,78,0,4.36,clear sky
314,Kyzyl-Suu,KG,42.3414,78.0056,29.43,63,3,12.24,clear sky
315,Waingapu,ID,-9.6567,120.2641,77.16,87,100,2.95,moderate rain
316,Suzhou,CN,31.3114,120.6181,59.25,83,99,11.65,overcast clouds
317,Kuito,AO,-12.3833,16.9333,61.9,92,100,1.16,light rain
318,Cuamba,MZ,-14.8031,36.5372,77.92,31,9,4.03,clear sky
319,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,100,3.44,overcast clouds
320,Karlstad,SE,59.3793,13.5036,34.36,100,100,8.05,fog
321,Chekhov,RU,55.1431,37.4711,21.15,95,100,6.91,light snow
322,Avera,US,33.194,-82.5271,66.25,42,83,9.55,broken clouds
323,Port Pirie,AU,-33.1833,138.0167,62.08,75,64,11.41,broken clouds
324,Kloulklubed,PW,7.0419,134.2556,75.7,71,43,7.29,scattered clouds
325,Manica,FR,49.0,-1.1667,48.74,83,100,14.9,light rain
326,Soltau,DE,52.9833,9.8333,43.09,96,100,5.59,overcast clouds
327,Eyl,SO,7.9803,49.8164,78.4,78,27,14.63,scattered clouds
328,Jumla,NP,29.2747,82.1838,44.82,46,85,4.45,overcast clouds
329,Ostrovnoy,RU,68.0531,39.5131,21.43,90,14,18.16,few clouds
330,Aksarayskiy,RU,46.7924,48.0119,41.23,77,100,19.06,overcast clouds
331,Abaetetuba,BR,-1.7181,-48.8825,85.93,63,44,7.43,scattered clouds
332,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,18.41,scattered clouds
333,Bumba,CD,2.1833,22.4667,71.69,95,100,3.38,overcast clouds
334,Panama City,PA,8.9936,-79.5197,87.13,69,40,9.22,scattered clouds
335,Katherine,AU,-14.4667,132.2667,79.12,83,100,5.75,overcast clouds
336,Kimbe,PG,-5.5502,150.1429,75.47,93,99,2.3,moderate rain
337,Alyangula,AU,-13.8483,136.4192,82.2,78,100,7.96,overcast clouds
338,Maniitsoq,GL,65.4167,-52.9,20.8,71,84,5.57,broken clouds
339,La Macarena,CO,2.1837,-73.7849,86.34,60,84,3.09,broken clouds
340,Casper,US,42.8666,-106.3131,43.81,46,99,1.81,overcast clouds
341,Itarema,BR,-2.9248,-39.9167,81.46,72,100,16.31,overcast clouds
342,Waipawa,NZ,-41.4122,175.5153,56.32,77,100,5.57,moderate rain
